0x8000380	AgbMain
0x80040AC	SetBackgroundColor
0x80040CC	SetShadowColor
0x80040DC	SetForegroundColor
0x80040F0	GetTextDelay
0x800411C	PlayerCanInterruptWait
0x8004168	ScrollWindowTextLines
0x8004194	ScrollWindowTextLines_TextMode0
0x80041F8	DoScroll_TextMode0
0x8004278	ScrollWindowTextLines_TextMode1
0x80042AC	DoScroll_TextMode1
0x8004320	ScrollWindowTextLines_TextMode2
0x8004354	DoScroll_TextMode2
0x8004464	ClearWindowTextLines
0x80044B8	ClearWindowTextLines_TextMode0_TextMode1
0x8004510	ClearWindowTextLines_TextMode2
0x80045A4	DrawDownArrow
0x8004710	WaitWithDownArrow
0x800475C	DrawInitialDownArrow
0x800476C	DrawMovingDownArrow
0x80047A4	TryEraseDownArrow
0x80047C8	GetWindowTilemapEntry
0x80047DC	DrawWindowRect
0x8004870	DrawWindowRect_DefaultPalette
0x80048A4	FillWindowRect
0x8004914	FillWindowRect_DefaultPalette
0x8004948	ZeroFillWindowRect
0x8004978	FillWindowRectWithBlankTile
0x80049C8	GetBlankTileNum
0x8004A24	sub_80048D8
0x8004A34	GetGlyphWidth
0x8004AB8	GetExtCtrlCodeLength
0x8004AD4	AlignInt1
0x8004B94	AlignInt2
0x8004C70	AlignString
0x8004D18	GetStringWidth
0x8004E50	sub_8004D04
0x8004E84	sub_8004D38
0x8004EFC	sub_8004DB0
0x8004F70	sub_8004E24
0x8004F74	sub_8004E28
0x8004F88	sub_8004E3C
0x8004FB8	GetStringWidthGivenWindowConfig
0x8004FE8	ConvertInternationalString
0x8005050	StripExtCtrlCodes
0x80050AC	SkipExtCtrlCode
0x80050D0	StringCompareWithoutExtCtrlCodes
0x800511C	sub_8004FD0
0x80051F8	DrawGlyphTile_UnshadowedFont
0x8005350	ShiftGlyphTile_UnshadowedFont_Width0
0x8005354	ShiftGlyphTile_UnshadowedFont_Width1
0x80053A0	ShiftGlyphTile_UnshadowedFont_Width2
0x800540C	ShiftGlyphTile_UnshadowedFont_Width3
0x8005494	ShiftGlyphTile_UnshadowedFont_Width4
0x800551C	ShiftGlyphTile_UnshadowedFont_Width5
0x80055B0	ShiftGlyphTile_UnshadowedFont_Width6
0x8005654	ShiftGlyphTile_UnshadowedFont_Width7
0x8005704	ShiftGlyphTile_UnshadowedFont_Width8
0x80057CC	DrawGlyphTile_ShadowedFont
0x8005914	ShiftGlyphTile_ShadowedFont_Width0
0x8005918	ShiftGlyphTile_ShadowedFont_Width1
0x8005974	ShiftGlyphTile_ShadowedFont_Width2
0x80059DC	ShiftGlyphTile_ShadowedFont_Width3
0x8005A5C	ShiftGlyphTile_ShadowedFont_Width4
0x8005AEC	ShiftGlyphTile_ShadowedFont_Width5
0x8005DFC	ShiftGlyphTile_ShadowedFont_Width6
0x800617C	ShiftGlyphTile_ShadowedFont_Width7
0x8006570	ShiftGlyphTile_ShadowedFont_Width8
0x80069C0	DrawGlyphTiles
0x8006AA0	UpdateTilemap
0x8006B24	GetCursorTileNum
0x8006B70	StringCopy10
0x8006BA4	StringGetEnd10
0x8006BD0	StringCopy8
0x8006BFC	StringCopy
0x8006C1C	StringAppend
0x8006C34	StringCopyN
0x8006C64	StringAppendN
0x8006C80	StringLength
0x8006CC0	de_sub_8006CA8
0x8006CEC	StringCompare
0x8006D10	StringCompareN
0x8006D3C	ConvertIntToDecimalStringN
0x8006DDC	ConvertIntToDecimalStringN_DigitWidth6
0x8006EA0	ConvertIntToHexStringN
0x8006F54	ConvertIntToDecimalString
0x8006FBC	StringExpandPlaceholders
0x800703C	StringBraille
0x800709C	ExpandPlaceholder_UnknownStringVar
0x80070A4	ExpandPlaceholder_PlayerName
0x80070AC	ExpandPlaceholder_StringVar1
0x80070B4	ExpandPlaceholder_StringVar2
0x80070BC	ExpandPlaceholder_StringVar3
0x80070C4	ExpandPlaceholder_KunChan
0x80070E8	ExpandPlaceholder_RivalName
0x800710C	ExpandPlaceholder_Version
0x8007114	ExpandPlaceholder_EvilTeam
0x800711C	ExpandPlaceholder_GoodTeam
0x8007124	ExpandPlaceholder_EvilLeader
0x800712C	ExpandPlaceholder_GoodLeader
0x8007134	ExpandPlaceholder_EvilLegendary
0x800713C	ExpandPlaceholder_GoodLegendary
0x8007144	GetExpandedPlaceholder
0x8007168	StringFill
0x8007194	StringCopyPadded
0x80071E8	StringFillWithTerminator
0x80071F8	Task_DestroySelf
0x8007208	InitLinkTestBG
0x80072A0	InitLinkTestBG_Unused
0x800731C	LinkTestScreen
0x80073E8	sub_8007270
0x80073F8	InitLocalLinkPlayer
0x8007478	VBlankCB_LinkTest
0x800748C	InitLink
0x80074B8	Task_TriggerHandshake
0x80074F0	OpenLink
0x8007584	CloseLink
0x80075A0	TestBlockTransfer
0x8007688	LinkTestProcessKeyInput
0x8007744	CB2_LinkTest
0x8007768	LinkMain2
0x80077E0	HandleReceiveRemoteLinkPlayer
0x8007828	ProcessRecvCmds
0x8007B90	BuildSendCmd
0x8007CFC	sub_8007B14
0x8007D0C	sub_8007B24
0x8007D2C	sub_8007B44
0x8007D48	ClearLinkCallback
0x8007D54	ClearLinkCallback_2
0x8007D60	GetLinkPlayerCount
0x8007D70	OpenLinkTimed
0x8007D90	GetLinkPlayerDataExchangeStatusTimed
0x8007E34	IsLinkPlayerDataExchangeComplete
0x8007E9C	GetLinkPlayerTrainerId
0x8007EB4	ResetLinkPlayers
0x8007ED8	ResetBlockSend
0x8007EEC	InitBlockSend
0x8007F5C	LinkCB_BlockSendBegin
0x8007F80	LinkCB_BlockSend
0x8007FE4	LinkCB_BlockSendEnd
0x8007FF0	sub_8007E04
0x8008010	sub_8007E24
0x800802C	sub_8007E40
0x8008038	sub_8007E4C
0x8008048	GetMultiplayerId
0x8008058	bitmask_all_link_players_but_self
0x8008074	SendBlock
0x8008088	sub_8007E9C
0x80080B8	sub_8007ECC
0x80080D0	GetBlockReceivedStatus
0x80080F0	SetBlockReceivedFlag
0x8008104	ResetBlockReceivedFlags
0x800811C	ResetBlockReceivedFlag
0x8008138	sub_8007F4C
0x8008160	LinkTestCalcBlockChecksum
0x8008190	PrintHexDigit
0x80081C4	PrintHex
0x80082F4	LinkCB_RequestPlayerDataExchange
0x8008320	Task_PrintTestData
0x800844C	SetLinkDebugValues
0x8008460	sub_8008198
0x8008490	sub_80081C8
0x80084D4	sub_800820C
0x80084E0	sub_8008218
0x80084EC	sub_8008224
0x8008534	sub_800826C
0x80085B4	sub_80082EC
0x80085C8	GetLinkPlayerCount_2
0x80085D8	IsLinkMaster
0x80085E8	GetDummy2
0x80085F4	sub_800832C
0x8008618	sub_8008350
0x8008644	sub_800837C
0x80086A8	sub_80083E0
0x800871C	sub_8008454
0x8008748	sub_8008480
0x800876C	sub_80084A4
0x8008790	sub_80084C8
0x80087BC	sub_80084F4
0x8008814	CheckErrorStatus
0x8008884	CB2_LinkError
0x8008918	CB2_PrintErrorMessage
0x8008A04	GetSioMultiSI
0x8008A14	IsSioMultiMaster
0x8008A3C	IsLinkConnectionEstablished
0x8008A4C	SetSuppressLinkErrorMessage
0x8008A58	HasLinkErrorOccurred
0x8008A64	DisableSerial
0x8008AC4	EnableSerial
0x8008B80	ResetSerial
0x8008B90	LinkMain1
0x8008CBC	CheckMasterOrSlave
0x8008CE8	InitTimer
0x8008D38	EnqueueSendCmd
0x8008E20	DequeueRecvCmds
0x8008F34	LinkVSync
0x8008FA4	Timer3Intr
0x8008FB4	SerialCB
0x800903C	StartTransfer
0x800904C	DoHandshake
0x8009148	DoRecv
0x8009260	DoSend
0x8009314	StopTimer
0x8009348	SendRecvDone
0x8009378	ResetSendBuffer
0x80093CC	ResetRecvBuffer
0x800943C	RtcDisableInterrupts
0x8009454	RtcRestoreInterrupts
0x8009468	ConvertBcdToBinary
0x8009490	IsLeapYear
0x80094C8	ConvertDateToDayCount
0x8009554	RtcGetDayCount
0x8009590	RtcInit
0x80095F0	RtcGetErrorStatus
0x80095FC	RtcGetInfo
0x800962C	RtcGetDateTime
0x8009644	RtcGetStatus
0x800965C	RtcGetRawInfo
0x8009670	RtcCheckInfo
0x8009770	RtcReset
0x8009784	FormatDecimalTime
0x80097BC	FormatHexTime
0x80097F4	FormatHexRtcTime
0x800980C	FormatDecimalDate
0x8009844	FormatHexDate
0x800987C	debug_sub_800987C
0x8009894	debug_sub_8009894
0x80098B8	debug_sub_80098B8
0x80098D0	RtcCalcTimeDifference
0x8009954	RtcCalcLocalTime
0x800997C	RtcInitLocalTimeOffset
0x8009990	RtcCalcLocalTimeOffset
0x80099C0	CalcTimeDifference
0x8009A28	RtcGetMinuteCount
0x8009A60	debug_sub_8009A60
0x8009A70	CB2_MainMenu
0x8009A88	VBlankCB_MainMenu
0x8009A9C	CB2_InitMainMenu
0x8009AA8	sub_80096FC
0x8009AB4	InitMainMenu
0x8009C24	Task_MainMenuCheckSave
0x8009DC8	Task_MainMenuWaitForSaveErrorAck
0x8009E10	Task_MainMenuCheckRtc
0x8009ED8	Task_MainMenuWaitForRtcErrorAck
0x8009F20	Task_MainMenuDraw
0x800A0EC	Task_MainMenuHighlight
0x800A118	MainMenuProcessKeyInput
0x800A22C	Task_MainMenuProcessKeyInput
0x800A25C	Task_MainMenuPressedA
0x800A35C	Task_MainMenuPressedB
0x800A388	HighlightCurrentMenuItem
0x800A468	PrintMainMenuItem
0x800A4B4	PrintSaveFileInfo
0x800A4CC	PrintPlayerName
0x800A4F0	PrintPlayTime
0x800A538	PrintPokedexCount
0x800A570	PrintBadgeCount
0x800A5A8	Task_NewGameSpeech1
0x800A694	Task_NewGameSpeech2
0x800A70C	Task_NewGameSpeech3
0x800A77C	Task_NewGameSpeech4
0x800A7C8	Task_NewGameSpeech5
0x800A7F8	Task_NewGameSpeech6
0x800A86C	Task_NewGameSpeech7
0x800A8DC	Task_NewGameSpeech8
0x800A918	Task_NewGameSpeech9
0x800A960	Task_NewGameSpeech10
0x800A9D8	Task_NewGameSpeech11
0x800AA1C	Task_NewGameSpeech12
0x800AACC	Task_NewGameSpeech13
0x800AB10	Task_NewGameSpeech14
0x800AB50	Task_NewGameSpeech15
0x800AB88	Task_NewGameSpeech16
0x800AC28	Task_NewGameSpeech17
0x800ACD0	Task_NewGameSpeech18
0x800AD28	Task_NewGameSpeech19
0x800AD68	Task_NewGameSpeech20
0x800ADA0	Task_NewGameSpeech21
0x800AE60	Task_NewGameSpeech22
0x800AEA0	Task_NewGameSpeech23
0x800AEEC	Task_NewGameSpeech24
0x800AF24	Task_NewGameSpeech25
0x800AFD4	Task_NewGameSpeech26
0x800B00C	Task_NewGameSpeech27
0x800B0FC	Task_NewGameSpeech28
0x800B1A8	Task_NewGameSpeech29
0x800B288	Task_NewGameSpeech30
0x800B338	Task_NewGameSpeech31
0x800B374	Task_NewGameSpeech32
0x800B3E8	Task_NewGameSpeech33
0x800B414	CB_ContinueNewGameSpeechPart2
0x800B5F0	nullsub_34
0x800B5F4	sub_800B240
0x800B610	CreateAzurillSprite
0x800B680	AddBirchSpeechObjects
0x800B7A0	Task_SpriteFadeOut
0x800B80C	StartSpriteFadeOut
0x800B87C	Task_SpriteFadeIn
0x800B8E8	StartSpriteFadeIn
0x800B95C	sub_800B5A8
0x800B9C8	StartBackgroundFadeOut
0x800BA08	sub_800B654
0x800BA74	StartBackgroundFadeIn
0x800BAB4	CreateGenderMenu
0x800BB14	GenderMenuProcessInput
0x800BB24	CreateNameMenu
0x800BBAC	NameMenuProcessInput
0x800BBBC	SetPresetPlayerName
0x800BC0C	sub_800B858
0x800BC38	sub_800B884
0x800BD40	sub_800B950
0x800BD98	sub_800B9A8
0x800BE68	sub_800BA78
0x800C144	sub_800BD54
0x800C28C	dp01_prepare_buffer
0x800C318	sub_800BF28
0x800C3E0	dp01_prepare_buffer_wireless_probably
0x800C598	sub_800C1A8
0x800C74C	sub_800C35C
0x800C86C	sub_800C47C
0x800CA08	dp01_build_cmdbuf_x00_a_b_0
0x800CA2C	dp01_build_cmdbuf_x01_a_b_0
0x800CA54	dp01_build_cmdbuf_x02_a_b_varargs
0x800CA94	unref_sub_800C6A4
0x800CAD4	dp01_build_cmdbuf_x04_4_4_4
0x800CAF4	sub_800C704
0x800CB18	dp01_build_cmdbuf_x06_a
0x800CB38	dp01_build_cmdbuf_x07_7_7_7
0x800CB58	dp01_build_cmdbuf_x08_8_8_8
0x800CB78	dp01_build_cmdbuf_x09_9_9_9
0x800CB98	dp01_build_cmdbuf_x0A_A_A_A
0x800CBB8	dp01_build_cmdbuf_x0B_B_B_B
0x800CBD8	dp01_build_cmdbuf_x0C_C_C_C
0x800CBF8	dp01_build_cmdbuf_x0D_a
0x800CC18	unref_sub_800C828
0x800CC60	dp01_build_cmdbuf_x0F_aa_b_cc_dddd_e_mlc_weather_00_x1Cbytes
0x800CD38	dp01_build_cmdbuf_x10_TODO
0x800CE58	dp01_build_cmdbuf_x11_TODO
0x800CF48	dp01_build_cmdbuf_x12_a_bb
0x800CF74	unref_sub_800CB84
0x800CF94	sub_800CBA4
0x800CFD0	sub_800CBE0
0x800D004	dp01_build_cmdbuf_x16_a_b_c_ptr_d_e_f
0x800D040	dp01_build_cmdbuf_x17_17_17_17
0x800D060	dp01_build_cmdbuf_x18_0_aa_health_bar_update
0x800D098	dp01_build_cmdbuf_x19_a_bb
0x800D0CC	dp01_build_cmdbuf_x1A_aaaa_bbbb
0x800D120	dp01_build_cmdbuf_x1B_aaaa_b
0x800D15C	dp01_build_cmdbuf_x1C_a
0x800D17C	dp01_build_cmdbuf_x1D_1D_numargs_varargs
0x800D1C4	unref_sub_800CDD4
0x800D22C	unref_sub_800CE3C
0x800D274	unref_sub_800CE84
0x800D2BC	dp01_build_cmdbuf_x21_a_bb
0x800D2E8	dp01_build_cmdbuf_x22_a_three_bytes
0x800D320	dp01_build_cmdbuf_x23_aa_0
0x800D34C	dp01_build_cmdbuf_x24_aa_0
0x800D378	dp01_build_cmdbuf_x25_25_25_25
0x800D398	dp01_build_cmdbuf_x26_a
0x800D3B8	dp01_build_cmdbuf_x27_27_27_27
0x800D3D8	dp01_build_cmdbuf_x28_28_28_28
0x800D3F8	dp01_build_cmdbuf_x29_29_29_29
0x800D418	dp01_build_cmdbuf_x2A_2A_2A_2A
0x800D438	dp01_build_cmdbuf_x2B_aa_0
0x800D464	sub_800D074
0x800D490	dp01_build_cmdbuf_x2D_2D_2D_2D
0x800D4B0	dp01_build_cmdbuf_x2E_a
0x800D4D0	dp01_build_cmdbuf_x2F_2F_2F_2F
0x800D4F0	dp01_build_cmdbuf_x30_TODO
0x800D538	dp01_build_cmdbuf_x31_31_31_31
0x800D558	dp01_build_cmdbuf_x32_32_32_32
0x800D578	dp01_build_cmdbuf_x33_a_33_33
0x800D59C	dp01_build_cmdbuf_x34_a_bb_aka_battle_anim
0x800D5C8	sub_800D1D8
0x800D5E8	dp01_build_cmdbuf_x38_a
0x800D608	dp01_build_cmdbuf_x37_a
0x800D628	sub_800D238
0x800D634	LZDecompressVram
0x800D640	LoadCompressedObjectPic
0x800D66C	LoadCompressedObjectPicOverrideBuffer
0x800D694	LoadCompressedObjectPalette
0x800D6C8	LoadCompressedObjectPaletteOverrideBuffer
0x800D6F8	DecompressPicFromTable_2
0x800D724	sub_800D334
0x800D768	sub_800D378
0x800D810	Unused_LZDecompressWramIndirect
0x800D81C	unref_sub_800D42C
0x800DA74	unref_sub_800D684
0x800DAB4	sub_800D6C4
0x800DAC4	sub_800D6D4
0x800DB3C	sub_800D74C
0x800DBA8	sub_800D7B8
0x800DEA8	sub_800DAB8
0x800DF40	sub_800DAF8
0x800E06C	sub_800DC24
0x800E278	sub_800DE30
0x800E684	sub_800E23C
0x800E85C	sub_800E414
0x800EC0C	sub_800E7C4
0x800EC40	sub_800E7F8
0x800EE54	sub_800E9EC
0x800EF14	sub_800EAAC
0x800EF70	sub_800EB08
0x800F0AC	shedinja_something
0x800F104	sub_800EC9C
0x800F4C0	sub_800F02C
0x800F598	sub_800F104
0x800F75C	sub_800F298
0x800FCF8	sub_800F808
0x800FDE0	sub_800F828
0x800FDF0	sub_800F838
0x800FEA0	sub_800F8E8
0x801028C	sub_800FCD4
0x80102B4	sub_800FCFC
0x8010364	nullsub_36
0x8010368	sub_800FDB0
0x80103D8	sub_800FE20
0x80103F8	sub_800FE40
0x80105CC	c2_8011A1C
0x8010770	sub_80101B8
0x801078C	c2_081284E0
0x8010800	debug_sub_8010800
0x8010818	debug_sub_8010818
0x80108B8	debug_sub_80108B8
0x8010A7C	debug_sub_8010A7C
0x8010AAC	debug_sub_8010AAC
0x8010B80	debug_sub_8010B80
0x8010CAC	debug_sub_8010CAC
0x8011498	debug_sub_8011498
0x801174C	debug_sub_801174C
0x8011D40	debug_sub_8011D40
0x8011DD0	debug_sub_8011DD0
0x8011DD4	debug_sub_8011DD4
0x8011E5C	debug_sub_8011E5C
0x8011E74	debug_sub_8011E74
0x8011EA0	debug_sub_8011EA0
0x8012294	debug_sub_8012294
0x80123D8	debug_sub_80123D8
0x8012540	debug_sub_8012540
0x801259C	debug_sub_801259C
0x80125A0	debug_sub_80125A0
0x80125E4	debug_sub_80125E4
0x8012628	debug_sub_8012628
0x8012658	debug_sub_8012658
0x8012688	debug_sub_8012688
0x8012878	debug_sub_8012878
0x80128B4	debug_sub_80128B4
0x8012938	debug_sub_8012938
0x80129F8	debug_sub_80129F8
0x8012AC0	debug_sub_8012AC0
0x8012B2C	debug_sub_8012B2C
0x8012B4C	debug_sub_8012B4C
0x8012B70	debug_sub_8012B70
0x8012C08	debug_sub_8012C08
0x8012D10	debug_sub_8012D10
0x8013240	debug_sub_8013240
0x8013258	debug_sub_8013258
0x8013294	debug_sub_8013294
0x80132C8	debug_sub_80132C8
0x80132F0	oac_poke_opponent
0x8013320	sub_8010278
0x8013354	sub_80102AC
0x80133B0	nullsub_37
0x80133B4	unref_sub_801030C
0x80133C8	sub_8010320
0x801342C	sub_8010384
0x801353C	sub_8010494
0x80135C8	sub_8010520
0x80135E4	sub_801053C
0x801361C	sub_8010574
0x8013648	sub_80105A0
0x8013654	oac_poke_ally_
0x8013684	sub_80105DC
0x8013690	nullsub_86
0x8013694	sub_80105EC
0x80136BC	dp11b_obj_instanciate
0x80137BC	dp11b_obj_free
0x8013858	objc_dp11b_pingpong
0x80138A4	nullsub_41
0x80138A8	sub_8010800
0x80138CC	debug_sub_80138CC
0x80139E4	debug_sub_80139E4
0x8013A74	debug_sub_8013A74
0x8013A90	sub_8010824
0x8013AB8	sub_8010874
0x8013DE4	sub_8010B88
0x80141A4	sub_8010F48
0x801451C	bc_8012FAC
0x8014590	bc_load_battlefield
0x80145E0	sub_8011384
0x801485C	bc_801333C
0x80149FC	bc_battle_begin_message
0x8014A34	bc_8013568
0x8014A5C	sub_8011800
0x8014A90	sub_8011834
0x8014B20	bc_801362C
0x8014BAC	unref_sub_8011950
0x8014BCC	sub_8011970
0x8014C10	sub_80119B4
0x8014CC4	unref_sub_8011A68
0x8014D5C	sub_8011B00
0x8015024	bc_8013B1C
0x80150E8	sub_8011E8C
0x8015284	sub_8012028
0x80154B4	sub_8012258
0x8015580	sub_8012324
0x8016218	sub_8012FBC
0x801624C	b_first_side
0x8016624	sub_80133C8
0x80168B8	sub_801365C
0x80169D8	sub_801377C
0x8016A28	bc_80154A0
0x8016B4C	sub_80138F0
0x8016BF4	sub_8013998
0x8016DC0	sub_8013B64
0x8016E38	sub_8013BDC
0x8016EA4	sub_8013C48
0x8016EF8	sub_8013C9C
0x8017004	sub_8013DA8
0x8017054	bc_evolution_cutscene
0x80170E4	sub_8013E88
0x801710C	c4_overworld
0x80171B0	sub_8013F54
0x8017218	sub_8013FBC
0x8017244	sub_8013FE8
0x8017950	sub_80146F4
0x80179FC	sub_80147A0
0x8017D14	sub_8014AB8
0x8017E50	sub_8014BF4
0x8017FAC	sub_8014D50
0x8017FF4	sub_8014D98
0x8018054	sub_8014DF8
0x8018118	sub_8014EBC
